tahun,sungai,hulu,tengah,hilir
2011,S. Cimahi,"0,80 ","0,92 ","0,87"
2011,S. Cimahi,"0,78","0,71","0,61"
2012,S. Cimahi,143,154,"0,84"
2012,S. Cimahi,"0,84","0,79","0,62"
2013,S. Cimahi,"1,78","1,83","1,36"
2013,S. Cimahi,"0,89","0,91","0,82"
2014,S. Cimahi,"1,18","1,82","1,36"
2014,S. Cimahi,"0,81","0,77","0,68"
2015,S. Cimahi,"1,07","0,78","0,68"
2015,S. Cimahi,"0,92","0,79","0,71"
2016,S. Cimahi,"1,18","1,13","1,21"
2017,S. Cimahi,725,324,0.222
2017,S. Cimahi,1.93,1.85,1.08
2018,S. Cimahi,0.33,0.18,0.08
2018,S. Cimahi,0.63,0.13,0.56
2011,S. Cisangkan,"0,99","0,81","0,73"
2011,S. Cisangkan,"0,73","0,62","0,71"
2012,S. Cisangkan,"0,79","0,62","0,87"
2012,S. Cisangkan,"0,87","0,64","0,62"
2013,S. Cisangkan,"1,20","0,65","1,19"
2013,S. Cisangkan,"0,72","0,78","0,69"
2014,S. Cisangkan,"0,81","0,68","1,19"
2014,S. Cisangkan,"0,82","0,70","0,72"
2015,S. Cisangkan,"0,62","0,86","2,20"
2015,S. Cisangkan,"0,92","0,77","0,69"
2016,S. Cisangkan,"0,90","0,75","1,16"
2017,S. Cisangkan,34,135,384
2017,S. Cisangkan,0.25,1.02,2.44
2018,S. Cisangkan,0.02,0.48,2.11
2018,S. Cisangkan,0.02,0.05,0.93
2011,S. Cibabat,"0,73","0,68","0,67"
2011,S. Cibabat,"0,71","0,76","0,73"
2012,S. Cibabat,"0,64","0,62","0,61"
2012,S. Cibabat,"0,61",174,173
2013,S. Cibabat,"0,70","1,65","0,72"
2013,S. Cibabat,"0,68","0,85","0,91"
2014,S. Cibabat,"1,20","1,65","0,92"
2014,S. Cibabat,"0,71","0,74","0,73"
2015,S. Cibabat,"0,23","3,68","0,37"
2015,S. Cibabat,"0,68",165,171
2016,S. Cibabat,"1,11","1,77","1,12"
2017,S. Cibabat,81,171,108
2017,S. Cibabat,0.2,0.04,0.06
2018,S. Cibabat,0.12,0.03,0.07
2018,S. Cibabat,0.15,0.01,0.08
2011,S. Cibaligo,109,"0,98","0,86"
2011,S. Cibaligo,"0,82","0,73","0,80"
2012,S. Cibaligo,174,173,"0,98"
2012,S. Cibaligo,"0,98","0,79","0,86"
2013,S. Cibaligo,"0,88","1,24","0,84"
2013,S. Cibaligo,"0,86","0,72","0,81"
2014,S. Cibaligo,"0,88","0,74","0,84"
2014,S. Cibaligo,"0,91","0,72","0,81"
2015,S. Cibaligo,"0,38","1,24","0,84"
2015,S. Cibaligo,"0,89","0,71","0,80"
2016,S. Cibaligo,"1,14","1,64","1,54"
2017,S. Cibaligo,"0,1125","0,18",564
2017,S. Cibaligo,0.74,0.81,0.23
2018,S. Cibaligo,0.65,0.33,1.53
2018,S. Cibaligo,0.05,0.2,0.21
2011,S. Cibeurum,"0,68","0,71","0,81"
2011,S. Cibeurum,"0,61","0,74","0,76"
2012,S. Cibeurum,"0,79","0,86","0,62"
2012,S. Cibeurum,"0,62","0,86","0,68"
2013,S. Cibeurum,"1,69","1,23","1,10"
2013,S. Cibeurum,"0,67","0,83","0,71"
2014,S. Cibeurum,"0,69","0,93","0,80"
2014,S. Cibeurum,"0,68","0,80","0,72"
2015,S. Cibeurum,"1,69","1,23","1,11"
2015,S. Cibeurum,"0,62","0,78","0,61"
2016,S. Cibeurum,"1,19","1,32","1,00"
2017,S. Cibeurum,"0,63","0,72",732
2017,S. Cibeurum,3.02,3.1,6.76
2018,S. Cibeurum,0.93,0.83,2.01
2018,S. Cibeurum,0.69,0.09,0.46
